Job,Generation,IdeaID,Description,Mechanism,NPV,CAPEX,ROI,Likelihood,Score,Timestamp
10gen x 10ideas,5,tri_loop_transit_farms_v1,"Build a three-tier food-production loop anchored to mass-transit hubs: 1) subway-level mushroom vaults in unused service rooms; 2) concourse micro-retail kiosks that sell fresh meal kits and grab-&-go snacks made from the harvest; 3) station-roof hydroponic greenhouses that use filtered, CO₂-rich exhaust from the vaults and free heat from the station’s HVAC system. A city-operated solar-electric barge (docking at riverfront stations) collects spent mushroom substrate weekly, composts it, brews organic nutrient tea, and returns it to the greenhouses—closing the waste loop. Metro authorities co-invest to hit carbon and food-equity targets, taking a revenue share instead of rent. Local chefs curate monthly ‘commuter menu’ subscriptions, driving predictable demand and brand buzz.","",0.00,0.70,0.00,0.68,0.829,N/A
10gen x 10ideas,5,looplease_symbio_farms_v2,"Create a city-wide network of paired mushroom vaults and leafy-green container pods that are leased to high-foot-traffic buildings (hotels, offices, malls) located within 500 m of a waterfront. Each site hosts two plug-and-grow units: 1) a basement or ground-floor gourmet-mushroom vault fed by free spent coffee grounds from in-building cafés, and 2) a rooftop hydroponic pod. Simple ducting lets warm, CO₂-rich air from the vault turbo-charge rooftop plant growth, while the pod’s LED waste heat is piped back down to keep the vault at ideal humidity—cutting energy use for both by ~25 %. A solar-powered ‘nutrient barge’ moored on the river acts as a central hub that composts spent substrates, brews organic liquid fertilizer, and delivers weekly refills by e-cargo bike, further reducing on-site labor. Building owners co-invest for green-building credits and get a share of produce for in-house food service; chefs subscribe to fixed-price harvest boxes at 10 % below wholesale, locking in predictable cash flow.","",0.00,0.80,0.00,0.65,0.611,N/A
10gen x 10ideas,5,server_heat_salad_cloud,"Co-locate modular aeroponic farms inside the warm exhaust corridors of urban edge-computing data centers. Servers need constant cooling; plants love steady 26 °C heat and elevated CO₂. Operators install plug-and-play grow racks that use the waste air before it’s vented outside, cutting HVAC costs for the data-center landlord, who in return provides space and electricity at cost. Harvested greens and herbs are sold via subscription to nearby corporate cafeterias and delivered by e-bike within two hours of picking. Excess heat is further captured through a small absorption chiller to provide chilled water for the building—qualifying the project for utility rebates and carbon credits.","",0.00,0.60,0.00,0.55,0.570,N/A
10gen x 10ideas,5,subway_breeze_farms,"Convert disused service alcoves and maintenance rooms adjacent to subway tunnels into compact, fully enclosed aeroponic farms. Warm, CO₂-rich ventilation air from passing trains is filtered and routed through heat exchangers to maintain ideal growing conditions at near-zero heating cost. Metro authorities grant 10-year air-rights concessions in exchange for a 5 % revenue share and free produce for station staff. Harvested greens are sold through branded ‘Last-Stop Salad’ kiosks on station platforms and via commuter app pre-orders, turning transit dwell time into retail time.","",0.00,0.50,0.00,0.50,0.463,N/A
10gen x 10ideas,5,vault_roof_symbio_farms_v1,"Pair an underground gourmet-mushroom vault with a rooftop hydroponic container on the same commercial building. The vault uses free spent coffee grounds from tenant cafés; its CO₂-rich exhaust is piped up to the roof unit, accelerating leafy-green growth. Warm LED exhaust air from the roof unit is ducted back down to stabilize vault humidity—cutting energy costs for both. The operator installs, maintains and remotely monitors both units; building owners co-invest for LEED credits and a share of produce, while tenant restaurants subscribe to weekly mixed-crop boxes priced 15 % below wholesale.","",0.00,0.90,0.00,0.62,0.431,N/A
10gen x 10ideas,6,tri_loop_transit_farms_v1,"Build a three-tier food-production loop anchored to mass-transit hubs: 1) subway-level mushroom vaults in unused service rooms; 2) concourse micro-retail kiosks that sell fresh meal kits and grab-&-go snacks made from the harvest; 3) station-roof hydroponic greenhouses that use filtered, CO₂-rich exhaust from the vaults and free heat from the station’s HVAC system. A city-operated solar-electric barge (docking at riverfront stations) collects spent mushroom substrate weekly, composts it, brews organic nutrient tea, and returns it to the greenhouses—closing the waste loop. Metro authorities co-invest to hit carbon and food-equity targets, taking a revenue share instead of rent. Local chefs curate monthly ‘commuter menu’ subscriptions, driving predictable demand and brand buzz.","",0.00,0.70,0.00,0.68,0.829,N/A
10gen x 10ideas,6,edge_loop_transit_farms_v3,"Convert unused service rooms in major subway stations into combined edge-computing ‘hot boxes’ and climate-controlled mushroom farms. A thin partition separates rows of server racks (leased to telecom/AI firms that need city-center latency) from gourmet-mushroom grow shelves. The servers give off steady 26-30 °C heat and CO₂ that the fungi love, slashing energy costs for both. A simple duct sends the CO₂-rich exhaust to compact rooftop hydroponic greenhouses that grow leafy greens for on-site kiosks and chef subscriptions. Transit authorities provide space and power in return for (1) a cut of server-rack rent and (2) discounted fresh produce for employee cafeterias. Waste substrate is picked up by the city’s existing electric maintenance vans and taken to a municipal compost hub, closing the nutrient loop without new logistics. Revenue stack: 45 % from server-rack hosting fees (locked in multi-year contracts), 40 % from produce sales and commuter meal memberships, 10 % from carbon/energy-efficiency credits, 5 % from paid rooftop tours. Startup capex is low because (a) server tenants prepay for rack build-out, (b) greenhouse hardware is financed on a 5-year vendor lease, and (c) the metro authority waives rent in exchange for revenue share. Payback target: <3 years per station.","",0.00,0.75,0.00,0.60,0.737,N/A
10gen x 10ideas,6,looplease_symbio_farms_v2,"Create a city-wide network of paired mushroom vaults and leafy-green container pods that are leased to high-foot-traffic buildings (hotels, offices, malls) located within 500 m of a waterfront. Each site hosts two plug-and-grow units: 1) a basement or ground-floor gourmet-mushroom vault fed by free spent coffee grounds from in-building cafés, and 2) a rooftop hydroponic pod. Simple ducting lets warm, CO₂-rich air from the vault turbo-charge rooftop plant growth, while the pod’s LED waste heat is piped back down to keep the vault at ideal humidity—cutting energy use for both by ~25 %. A solar-powered ‘nutrient barge’ moored on the river acts as a central hub that composts spent substrates, brews organic liquid fertilizer, and delivers weekly refills by e-cargo bike, further reducing on-site labor. Building owners co-invest for green-building credits and get a share of produce for in-house food service; chefs subscribe to fixed-price harvest boxes at 10 % below wholesale, locking in predictable cash flow.","",0.00,0.80,0.00,0.65,0.611,N/A
10gen x 10ideas,6,server_heat_salad_cloud,"Co-locate modular aeroponic farms inside the warm exhaust corridors of urban edge-computing data centers. Servers need constant cooling; plants love steady 26 °C heat and elevated CO₂. Operators install plug-and-play grow racks that use the waste air before it’s vented outside, cutting HVAC costs for the data-center landlord, who in return provides space and electricity at cost. Harvested greens and herbs are sold via subscription to nearby corporate cafeterias and delivered by e-bike within two hours of picking. Excess heat is further captured through a small absorption chiller to provide chilled water for the building—qualifying the project for utility rebates and carbon credits.","",0.00,0.60,0.00,0.55,0.570,N/A
10gen x 10ideas,6,billboard_greens_media_hub,"Turn the sun-facing backs of urban digital billboards into vertical hydroponic gardens. Billboard owners already pay for structure, electricity, and maintenance crews; adding lightweight aeroponic panels clips on with minimal extra load. The panels grow fast-cycle greens and herbs that are harvested twice weekly by the same technicians who service the screens. Produce is pre-sold to nearby cafés and corner stores under a ‘picked-this-morning’ label, commanding premium prices. Advertisers pay a small “green halo” surcharge to display sustainability badges on the digital face, creating a second revenue lift. Capex is shared: billboard company covers mounting rails (counts as sign improvement), farm hardware vendor provides equipment on performance lease, and a local food co-op prepays for six months of produce in exchange for 15 % discount. A smartphone app shows real-time crop growth alongside ad impressions, creating interactive marketing that boosts ad rates. One 14-meter sign can host 250 m² of growing area and generate $70k net produce profit per year with payback in 24 months.","",0.00,0.14,0.00,0.70,0.259,N/A
10gen x 10ideas,7,modular_transit_datagreen_hub_v1,"Plug-and-play ‘Data-Green’ modules that slide into under-used mezzanines of subway and train stations. The front half of each prefab steel pod is an edge-computing micro-data-center leased to telecom/AI firms. The back half is a climate-controlled mushroom & micro-green farm. A simple duct sends the servers’ warm, CO₂-rich exhaust directly into the grow chamber and up to a lightweight rooftop greenhouse that snaps onto the station roof. Transit authorities provide space and utility hookups in exchange for a revenue share and discounted produce for staff canteens. Server tenants pre-pay rack build-out, local food-delivery apps pre-buy harvest boxes for corporate lunches, and a municipal green bond covers remaining hardware—so the farming operator stays asset-light. Factory-built pods arrive certified for fire, food-safety, and noise rules, slashing regulatory hassle and cutting installation time to 90 days per station.","",0.00,0.60,0.00,0.62,1.022,N/A
10gen x 10ideas,7,tri_loop_transit_farms_v1,"Build a three-tier food-production loop anchored to mass-transit hubs: 1) subway-level mushroom vaults in unused service rooms; 2) concourse micro-retail kiosks that sell fresh meal kits and grab-&-go snacks made from the harvest; 3) station-roof hydroponic greenhouses that use filtered, CO₂-rich exhaust from the vaults and free heat from the station’s HVAC system. A city-operated solar-electric barge (docking at riverfront stations) collects spent mushroom substrate weekly, composts it, brews organic nutrient tea, and returns it to the greenhouses—closing the waste loop. Metro authorities co-invest to hit carbon and food-equity targets, taking a revenue share instead of rent. Local chefs curate monthly ‘commuter menu’ subscriptions, driving predictable demand and brand buzz.","",0.00,0.70,0.00,0.68,0.829,N/A
10gen x 10ideas,7,edge_loop_transit_farms_v3,"Convert unused service rooms in major subway stations into combined edge-computing ‘hot boxes’ and climate-controlled mushroom farms. A thin partition separates rows of server racks (leased to telecom/AI firms that need city-center latency) from gourmet-mushroom grow shelves. The servers give off steady 26-30 °C heat and CO₂ that the fungi love, slashing energy costs for both. A simple duct sends the CO₂-rich exhaust to compact rooftop hydroponic greenhouses that grow leafy greens for on-site kiosks and chef subscriptions. Transit authorities provide space and power in return for (1) a cut of server-rack rent and (2) discounted fresh produce for employee cafeterias. Waste substrate is picked up by the city’s existing electric maintenance vans and taken to a municipal compost hub, closing the nutrient loop without new logistics. Revenue stack: 45 % from server-rack hosting fees (locked in multi-year contracts), 40 % from produce sales and commuter meal memberships, 10 % from carbon/energy-efficiency credits, 5 % from paid rooftop tours. Startup capex is low because (a) server tenants prepay for rack build-out, (b) greenhouse hardware is financed on a 5-year vendor lease, and (c) the metro authority waives rent in exchange for revenue share. Payback target: <3 years per station.","",0.00,0.75,0.00,0.60,0.737,N/A
10gen x 10ideas,7,looplease_symbio_farms_v2,"Create a city-wide network of paired mushroom vaults and leafy-green container pods that are leased to high-foot-traffic buildings (hotels, offices, malls) located within 500 m of a waterfront. Each site hosts two plug-and-grow units: 1) a basement or ground-floor gourmet-mushroom vault fed by free spent coffee grounds from in-building cafés, and 2) a rooftop hydroponic pod. Simple ducting lets warm, CO₂-rich air from the vault turbo-charge rooftop plant growth, while the pod’s LED waste heat is piped back down to keep the vault at ideal humidity—cutting energy use for both by ~25 %. A solar-powered ‘nutrient barge’ moored on the river acts as a central hub that composts spent substrates, brews organic liquid fertilizer, and delivers weekly refills by e-cargo bike, further reducing on-site labor. Building owners co-invest for green-building credits and get a share of produce for in-house food service; chefs subscribe to fixed-price harvest boxes at 10 % below wholesale, locking in predictable cash flow.","",0.00,0.80,0.00,0.65,0.611,N/A
10gen x 10ideas,7,parkingdeck_aquaponics_reit_v1,"Convert half-empty multi-story parking garages—now under-utilized thanks to ride-hailing and EV adoption—into stacked aquaponic farms that grow tilapia and leafy greens. Garage owners (city or mall REIT) finance structural tweaks and solar carport panels on the roof; the farming operator installs lightweight fish tanks on the shaded lower levels and vertical grow racks on upper decks. Gravity feeds nutrient-rich fish water through plant trays, then into a biofilter before recirculating—using harvested rainwater stored in former car-wash bays. Produce is sold through ground-floor ‘Food-ATM’ smart lockers for residents and via same-day delivery to nearby supermarkets and restaurants; fish sells to sushi and poke outlets seeking local, traceable protein. Operator pays the owner a percentage of sales instead of fixed rent, turning stranded real-estate into a food-security asset.","",0.00,0.90,0.00,0.55,0.492,N/A
10gen x 10ideas,8,N/A,"","",0.00,0.65,0.00,0.64,1.156,N/A
10gen x 10ideas,8,N/A,"","",0.00,0.60,0.00,0.62,1.022,N/A
10gen x 10ideas,8,N/A,"","",0.00,0.70,0.00,0.68,0.829,N/A
10gen x 10ideas,8,N/A,"","",0.00,0.75,0.00,0.60,0.737,N/A
10gen x 10ideas,8,N/A,"","",0.00,3.50,0.00,0.55,-0.010,N/A
10gen x 10ideas,9,shadefarm_reservoir_hyplex,"Deploy modular floating rafts on urban drinking-water reservoirs that combine bifacial solar panels on top and shallow-bed hydroponic leafy-green farms beneath. The panels shade the water, reducing evaporation (a utility benefit) while powering the pumps and LED strips for the crops below. A special-purpose JV leases water surface rights from the municipal utility, sells electricity back to the grid under feed-in tariffs, and sells premium ""ultra-local"" greens to grocery chains located within a 10-km radius, guaranteeing same-day harvest delivery via e-bike couriers.","",0.00,6.50,0.00,0.45,-0.081,N/A
10gen x 10ideas,9,metro_circular_hub_v1,"Convert under-used multi-level city parking garages into ""circular hubs"" that host three tenants under one roof: (1) micro-edge data racks whose server waste heat is captured, (2) stacked hydroponic grow rooms that sit directly above heat exchangers, and (3) an EV-last-mile depot with refrigerated lockers at street level. A real-estate REIT supplies the structure, a telco funds and operates the edge gear, while an e-grocer signs a forward-purchase contract for the produce and leases the lockers. Waste heat slashes farm energy costs, EV batteries absorb power peaks, and carbon-credit brokers monetise documented energy savings. Capex is shared via tenant fit-out allowances and a green-bond tranche, so the farming operator needs only working capital.","",0.00,13.50,0.00,0.35,-0.361,N/A
10gen x 10ideas,10,subway_spore_tunnel_v1,"Partner with the transit authority to convert disused subway spur tunnels into climate-stable mushroom and micro-green farms. LED racks and misting systems run on off-peak renewable electricity bought at discounted night rates. Spent coffee grounds from station cafés become the main growth substrate, collected daily by the same rail cars that deliver produce back to central stations for kiosk sale on commuters’ morning routes. The authority receives lease income and a cut of retail sales, while a waste-management firm saves tipping fees by supplying the coffee grounds free of charge.","",0.00,2.20,0.00,0.55,0.091,N/A
10gen x 10ideas,10,shadefarm_reservoir_hyplex,"Deploy modular floating rafts on urban drinking-water reservoirs that combine bifacial solar panels on top and shallow-bed hydroponic leafy-green farms beneath. The panels shade the water, reducing evaporation (a utility benefit) while powering the pumps and LED strips for the crops below. A special-purpose JV leases water surface rights from the municipal utility, sells electricity back to the grid under feed-in tariffs, and sells premium ""ultra-local"" greens to grocery chains located within a 10-km radius, guaranteeing same-day harvest delivery via e-bike couriers.","",0.00,6.50,0.00,0.45,-0.081,N/A
10gen x 10ideas,10,skydeck_coolshade_hub_v1,"Lease the wide, flat roofs of aging urban shopping malls and logistics warehouses to build lightweight ‘sky-deck’ platforms that host two layers: an upper canopy of bifacial solar panels and a lower level of shallow-bed hydroponic greens. Inside the host buildings, prefabricated micro-data-centre containers are installed; their servers are cooled by rooftop glycol loops whose warmed fluid keeps the hydroponic solution at optimal plant temperature at night. At ground level, existing parking lots are retrofitted with fast EV chargers whose peak demand is buffered by the on-site solar. Mall owners provide the roof and grid interconnect in exchange for long-term rent; a telco funds the edge computing gear; a grocery chain signs a forward-purchase contract for the produce, guaranteeing cash flow from day one.","",0.00,9.00,0.00,0.42,-0.167,N/A
10gen x 10ideas,10,reservoir_ring_circular_v2,"Deploy circular floating rings on municipal reservoirs. Each ring has an inward-facing greenhouse raft that grows high-value leafy greens, while the outer ring carries bifacial solar panels. At spaced intervals, water-cooled micro-edge data pods sit in sealed pontoons; lake water passively cools the servers, and the recovered heat is piped to the greenhouses to maintain temperature at night. The utility grants the water-surface concession because the shade both lowers evaporation and boosts water quality. A produce distributor underwrites crop offtake, and a cloud-service reseller prepays for five years of edge-compute capacity, creating bankable contracts.","",0.00,11.50,0.00,0.40,-0.207,N/A
10gen x 10ideas,10,metro_circular_hub_v1,"Convert under-used multi-level city parking garages into ""circular hubs"" that host three tenants under one roof: (1) micro-edge data racks whose server waste heat is captured, (2) stacked hydroponic grow rooms that sit directly above heat exchangers, and (3) an EV-last-mile depot with refrigerated lockers at street level. A real-estate REIT supplies the structure, a telco funds and operates the edge gear, while an e-grocer signs a forward-purchase contract for the produce and leases the lockers. Waste heat slashes farm energy costs, EV batteries absorb power peaks, and carbon-credit brokers monetise documented energy savings. Capex is shared via tenant fit-out allowances and a green-bond tranche, so the farming operator needs only working capital.","",0.00,13.50,0.00,0.35,-0.361,N/A
5gen x 20ideas,1,transit_station_microgreens_media,"Install compact microgreen farms inside glass kiosks on subway platforms; ad agencies wrap the kiosks with digital displays showing real-time growth visuals and paid ads. Commuters pre-order harvests via QR code for pickup on their way home.","",0.00,0.05,0.00,0.55,0.907,N/A
5gen x 20ideas,1,insurer_health_yield_partnership,"Health insurance companies fund container farms near dense neighborhoods with high diet-related claim costs. Members receive discounted produce subscriptions, while insurers get measurable reductions in claims and qualify for prevention credits.","",0.00,0.20,0.00,0.40,0.240,N/A
5gen x 20ideas,1,datacenter_heat_harvest_farms,"Partner with urban data-center operators to build stacked greenhouse pods that use server waste heat for year-round vegetable production. Data centers provide the warm air and cheap power connections; the farm pays for build-out and shares carbon-offset credits with the host.","",0.00,0.50,0.00,0.40,0.139,N/A
5gen x 20ideas,1,mall_rooftop_farm_revival,"Convert the idle rooftops of struggling shopping malls into modular hydroponic farms operated by local food entrepreneurs. Mall owners supply space and utilities at near-zero rent in exchange for a share of produce that boosts food-court foot traffic and fills vacant storefronts with pop-up farm stands.","",0.00,0.30,0.00,0.35,0.068,N/A
5gen x 20ideas,1,community_solar_csa_bonds,"Issue small, crowdsourced ""green bounty bonds"" that bundle returns from rooftop solar panels and adjacent hydroponic beds on apartment blocks. Residents buy $100 bonds, earn interest paid in both cash and weekly vegetable boxes, creating a built-in market for the farm produce.","",0.00,0.60,0.00,0.45,-0.034,N/A
5gen x 20ideas,2,transit_station_microgreens_media,"Install compact microgreen farms inside glass kiosks on subway platforms; ad agencies wrap the kiosks with digital displays showing real-time growth visuals and paid ads. Commuters pre-order harvests via QR code for pickup on their way home.","",0.00,0.05,0.00,0.55,0.907,N/A
5gen x 20ideas,2,transit_health_ad_farms_v1,"Modular micro-farms are installed in heated utility alcoves of major subway–hospital interchanges. Transit agencies and hospital systems provide the space and waste heat; insurers sponsor produce subscriptions for their members who pass through daily. Each glass kiosk carries dynamic ad screens that fund operations while showcasing real-time plant growth. Commuters and hospital staff pre-order micro-greens or salad kits on a QR app for pickup on the way home or after a shift. The result is a three-way win: riders get ultra-fresh food, insurers get lower diet-related claims, and transit/hospital landlords earn lease and ad-share revenue without spending capex.","",0.00,0.12,0.00,0.45,0.477,N/A
5gen x 20ideas,2,insurer_health_yield_partnership,"Health insurance companies fund container farms near dense neighborhoods with high diet-related claim costs. Members receive discounted produce subscriptions, while insurers get measurable reductions in claims and qualify for prevention credits.","",0.00,0.20,0.00,0.40,0.240,N/A
5gen x 20ideas,2,datacenter_heat_harvest_farms,"Partner with urban data-center operators to build stacked greenhouse pods that use server waste heat for year-round vegetable production. Data centers provide the warm air and cheap power connections; the farm pays for build-out and shares carbon-offset credits with the host.","",0.00,0.50,0.00,0.40,0.139,N/A
5gen x 20ideas,2,stormwater_tunnel_mushroom_farms,"Cities that recently upgraded their stormwater networks now have miles of oversized, climate-stable tunnels sitting half empty. Partner with the municipal water authority to lease these dark, 55-60°F corridors for gourmet mushroom cultivation. Spent coffee grounds collected from local cafés become the growth substrate, delivered by e-cargo bikes that also handle last-mile produce distribution to restaurants and grocers. The city gains rental income and circular-economy PR; the farm operator enjoys low rent, perfect growing conditions, and premium prices for specialty fungi.","",0.00,0.30,0.00,0.38,0.133,N/A
5gen x 20ideas,3,N/A,"","",0.00,0.15,0.00,0.50,1.238,N/A
5gen x 20ideas,3,N/A,"","",0.00,0.05,0.00,0.55,0.907,N/A
5gen x 20ideas,3,N/A,"","",0.00,0.12,0.00,0.45,0.477,N/A
5gen x 20ideas,3,N/A,"","",0.00,0.20,0.00,0.40,0.240,N/A
5gen x 20ideas,3,N/A,"","",0.00,2.00,0.00,0.35,-0.179,N/A
